Name,Cloud Cover,Solar Radiation,Relative Humidity,Temperature,Wind Speed,Solar Energy
"Matsuyama, Japan",100.0,0.0,57.7,9.8,6.8,0.0
"Matsuyama, Japan",100.0,0.0,62.7,9.5,7.2,0.0
"Matsuyama, Japan",100.0,0.0,66.6,9.3,7.2,0.0
"Matsuyama, Japan",100.0,0.0,70.1,9.1,6.1,0.0
"Matsuyama, Japan",100.0,0.0,71.4,9.1,4.3,0.0
"Matsuyama, Japan",22.6,0.0,74.5,8.9,5.8,0.0
"Matsuyama, Japan",36.5,4.0,75.4,9.1,6.5,0.0
"Matsuyama, Japan",7.5,45.0,64.0,11.9,3.2,0.2
"Matsuyama, Japan",74.4,114.0,52.7,14.6,2.5,0.4
"Matsuyama, Japan",100.0,191.0,44.2,15.9,6.1,0.7
"Matsuyama, Japan",81.1,638.0,42.5,16.4,8.3,2.3
"Matsuyama, Japan",100.0,739.0,43.0,17.1,9.7,2.7
"Matsuyama, Japan",100.0,787.0,46.2,17.4,9.4,2.8
"Matsuyama, Japan",76.9,767.0,49.4,17.1,7.6,2.8
"Matsuyama, Japan",90.9,797.0,49.0,17.8,8.6,2.9
"Matsuyama, Japan",50.5,795.0,48.7,18.3,7.6,2.9
"Matsuyama, Japan",100.0,631.0,44.2,19.0,6.1,2.3
"Matsuyama, Japan",97.0,471.0,48.4,18.2,6.1,1.7
"Matsuyama, Japan",86.8,372.0,55.5,16.8,6.5,1.3
"Matsuyama, Japan",88.3,287.0,67.4,14.1,4.3,1.0
"Matsuyama, Japan",41.2,229.0,71.4,13.3,8.3,0.8
"Matsuyama, Japan",100.0,191.0,75.5,12.6,9.0,0.7
"Matsuyama, Japan",100.0,0.0,75.9,12.2,9.4,0.0
"Matsuyama, Japan",100.0,0.0,71.3,13.2,10.1,0.0
"Matsuyama, Japan",97.3,0.0,72.9,13.2,9.4,0.0
"Matsuyama, Japan",99.1,0.0,74.8,13.2,9.0,0.0
"Matsuyama, Japan",100.0,0.0,78.5,12.8,10.4,0.0
"Matsuyama, Japan",100.0,0.0,78.9,13.0,9.4,0.0
"Matsuyama, Japan",100.0,0.0,77.8,13.8,6.8,0.0
"Matsuyama, Japan",100.0,0.0,78.1,14.0,6.5,0.0
"Matsuyama, Japan",100.0,0.0,78.5,14.4,6.5,0.0
"Matsuyama, Japan",100.0,6.0,78.8,14.9,5.0,0.0
"Matsuyama, Japan",100.0,18.0,77.8,15.9,1.8,0.1
"Matsuyama, Japan",100.0,21.0,91.5,14.6,2.5,0.1
"Matsuyama, Japan",100.0,85.0,92.4,15.1,3.6,0.3
"Matsuyama, Japan",100.0,86.0,92.0,15.5,2.9,0.3
"Matsuyama, Japan",100.0,81.0,94.0,15.2,0.4,0.3
"Matsuyama, Japan",100.0,82.0,93.8,15.5,0.7,0.3
"Matsuyama, Japan",100.0,82.0,93.9,15.5,2.2,0.3
"Matsuyama, Japan",100.0,82.0,93.3,15.7,1.4,0.3
"Matsuyama, Japan",100.0,40.0,93.5,15.2,5.0,0.1
"Matsuyama, Japan",99.8,29.0,95.3,14.7,4.0,0.1
"Matsuyama, Japan",100.0,40.0,94.5,15.1,1.1,0.1
"Matsuyama, Japan",100.0,30.0,94.5,14.7,5.4,0.1
"Matsuyama, Japan",100.0,24.0,95.9,14.4,4.7,0.1
"Matsuyama, Japan",100.0,20.0,96.5,14.5,5.8,0.1
"Matsuyama, Japan",100.0,0.0,97.0,14.4,2.2,0.0
"Matsuyama, Japan",100.0,0.0,97.6,14.3,3.2,0.0
"Matsuyama, Japan",100.0,0.0,97.5,14.4,4.3,0.0
"Matsuyama, Japan",100.0,0.0,97.6,14.3,0.7,0.0
"Matsuyama, Japan",100.0,0.0,98.8,14.1,1.8,0.0
"Matsuyama, Japan",100.0,0.0,98.8,14.0,1.8,0.0
"Matsuyama, Japan",100.0,0.0,99.4,14.0,2.9,0.0
"Matsuyama, Japan",100.0,0.0,99.0,14.0,2.5,0.0
"Matsuyama, Japan",100.0,0.0,98.5,14.0,1.8,0.0
"Matsuyama, Japan",100.0,0.0,97.4,14.0,0.7,0.0
"Matsuyama, Japan",100.0,2.0,98.4,13.7,2.2,0.0
"Matsuyama, Japan",100.0,4.0,99.0,13.6,4.7,0.0
"Matsuyama, Japan",100.0,20.0,97.9,13.6,1.4,0.1
"Matsuyama, Japan",100.0,37.0,98.9,13.4,10.4,0.1
"Matsuyama, Japan",100.0,34.0,98.3,12.9,10.1,0.1
"Matsuyama, Japan",100.0,33.0,97.5,12.9,6.1,0.1
"Matsuyama, Japan",100.0,30.0,97.5,12.5,6.1,0.1
"Matsuyama, Japan",100.0,32.0,94.5,12.6,10.4,0.1
"Matsuyama, Japan",100.0,79.0,93.6,13.0,5.8,0.3
"Matsuyama, Japan",100.0,94.0,94.5,12.9,7.6,0.3
"Matsuyama, Japan",100.0,102.0,95.0,12.8,4.7,0.4
"Matsuyama, Japan",100.0,82.0,96.6,12.0,2.5,0.3
"Matsuyama, Japan",100.0,65.0,96.9,11.6,1.1,0.2
"Matsuyama, Japan",100.0,54.0,96.0,11.4,6.8,0.2
"Matsuyama, Japan",30.8,0.0,94.0,11.1,6.5,0.0
"Matsuyama, Japan",1.7,0.0,92.5,10.7,7.9,0.0
"Matsuyama, Japan",0.0,0.0,90.9,10.5,7.9,0.0
"Matsuyama, Japan",0.0,0.0,89.5,10.3,8.6,0.0
"Matsuyama, Japan",0.0,0.0,87.6,10.0,8.3,0.0
"Matsuyama, Japan",8.8,0.0,86.0,9.7,8.3,0.0
"Matsuyama, Japan",0.0,0.0,84.9,9.7,8.6,0.0
"Matsuyama, Japan",6.0,0.0,85.0,9.6,10.8,0.0
"Matsuyama, Japan",33.7,5.0,84.5,10.2,11.9,0.0
"Matsuyama, Japan",7.0,45.0,82.5,12.9,10.8,0.2
"Matsuyama, Japan",9.8,113.0,66.3,16.6,7.9,0.4
"Matsuyama, Japan",4.9,192.0,56.9,17.9,10.1,0.7
"Matsuyama, Japan",0.0,778.0,52.5,19.1,13.0,2.8
"Matsuyama, Japan",3.7,845.0,50.0,20.0,17.6,3.0
"Matsuyama, Japan",57.7,888.0,48.7,20.5,21.2,3.2
"Matsuyama, Japan",94.6,861.0,58.5,19.1,22.0,3.1
"Matsuyama, Japan",99.5,747.0,64.3,17.4,16.6,2.7
"Matsuyama, Japan",26.5,665.0,63.5,17.3,16.2,2.4
"Matsuyama, Japan",3.0,615.0,70.0,16.5,20.9,2.2
"Matsuyama, Japan",0.2,527.0,54.5,16.1,18.0,1.9
"Matsuyama, Japan",0.0,426.0,59.2,14.5,15.1,1.5
"Matsuyama, Japan",0.0,328.0,61.5,13.0,15.8,1.2
"Matsuyama, Japan",0.0,262.0,63.0,12.8,20.9,0.9
"Matsuyama, Japan",0.0,219.0,65.0,12.5,21.6,0.8
"Matsuyama, Japan",0.0,0.0,66.6,11.9,15.5,0.0
"Matsuyama, Japan",0.0,0.0,69.0,10.9,13.7,0.0
"Matsuyama, Japan",0.0,0.0,65.9,10.5,13.0,0.0
"Matsuyama, Japan",0.0,0.0,65.6,9.9,11.9,0.0
"Matsuyama, Japan",1.2,0.0,66.0,9.6,9.7,0.0
"Matsuyama, Japan",3.5,0.0,67.4,9.2,9.0,0.0
"Matsuyama, Japan",4.0,0.0,66.6,8.9,9.0,0.0
"Matsuyama, Japan",1.8,0.0,67.4,8.6,7.9,0.0
"Matsuyama, Japan",0.0,6.0,67.5,8.9,8.3,0.0
"Matsuyama, Japan",23.2,50.0,59.0,11.1,8.6,0.2
"Matsuyama, Japan",6.9,120.0,50.0,12.9,10.1,0.4
"Matsuyama, Japan",8.5,202.0,46.0,13.8,12.2,0.7
"Matsuyama, Japan",100.0,795.0,44.5,14.4,14.0,2.9
"Matsuyama, Japan",100.0,716.0,47.9,14.0,15.8,2.6
"Matsuyama, Japan",100.0,644.0,55.9,13.0,23.0,2.3
"Matsuyama, Japan",100.0,541.0,68.8,11.4,15.8,1.9
"Matsuyama, Japan",99.8,479.0,66.9,11.8,11.5,1.7
"Matsuyama, Japan",23.1,434.0,62.4,12.0,7.9,1.6
"Matsuyama, Japan",17.1,417.0,63.1,12.1,7.3,1.5
"Matsuyama, Japan",11.0,400.0,63.9,12.3,6.7,1.4
"Matsuyama, Japan",5.0,383.0,64.6,12.5,6.1,1.4
"Matsuyama, Japan",3.3,321.0,68.4,11.3,7.0,1.2
"Matsuyama, Japan",1.7,259.0,72.2,10.1,7.8,0.9
"Matsuyama, Japan",0.0,197.0,76.0,8.9,8.6,0.7
"Matsuyama, Japan",9.2,131.3,77.0,8.8,8.3,0.5
"Matsuyama, Japan",18.5,65.7,78.0,8.7,7.9,0.2
"Matsuyama, Japan",27.7,0.0,79.0,8.7,7.6,0.0
"Matsuyama, Japan",19.9,0.0,82.4,8.5,7.9,0.0
"Matsuyama, Japan",12.2,0.0,85.7,8.3,8.3,0.0
"Matsuyama, Japan",4.4,0.0,89.1,8.1,8.6,0.0
"Matsuyama, Japan",2.9,2.0,87.2,8.3,7.8,0.0
"Matsuyama, Japan",1.5,4.0,85.4,8.5,7.0,0.0
"Matsuyama, Japan",0.0,6.0,83.5,8.7,6.1,0.0
"Matsuyama, Japan",1.8,71.3,78.0,10.0,9.1,0.3
"Matsuyama, Japan",3.7,136.7,72.6,11.4,12.1,0.5
"Matsuyama, Japan",5.5,202.0,67.1,12.8,15.1,0.7
"Matsuyama, Japan",25.3,424.3,62.8,13.4,14.4,1.5
"Matsuyama, Japan",45.2,646.7,58.5,13.9,13.7,2.3
"Matsuyama, Japan",65.0,869.0,54.2,14.6,13.0,3.1
"Matsuyama, Japan",46.4,845.3,54.1,14.8,13.7,3.0
"Matsuyama, Japan",27.9,821.7,54.0,15.0,14.4,3.0
"Matsuyama, Japan",9.3,798.0,53.9,15.3,15.1,2.9
"Matsuyama, Japan",6.3,680.0,57.1,14.8,11.4,2.4
"Matsuyama, Japan",3.3,562.0,60.3,14.3,7.7,2.0
"Matsuyama, Japan",0.3,444.0,63.5,13.8,4.0,1.6
"Matsuyama, Japan",0.2,372.0,67.0,12.4,5.4,1.3
"Matsuyama, Japan",0.1,300.0,70.6,11.2,6.8,1.1
"Matsuyama, Japan",0.0,228.0,74.1,9.9,8.3,0.8
"Matsuyama, Japan",0.0,152.0,74.6,9.4,8.5,0.5
"Matsuyama, Japan",0.0,76.0,75.0,9.0,8.8,0.3
"Matsuyama, Japan",0.0,0.0,75.5,8.6,9.0,0.0
"Matsuyama, Japan",0.0,0.0,73.8,8.4,8.8,0.0
"Matsuyama, Japan",0.0,0.0,72.2,8.2,8.5,0.0
"Matsuyama, Japan",0.0,0.0,70.5,8.1,8.3,0.0
"Matsuyama, Japan",0.0,2.3,68.7,8.3,8.0,0.0
"Matsuyama, Japan",0.0,4.7,66.8,8.5,7.8,0.0
"Matsuyama, Japan",0.0,7.0,65.0,8.7,7.6,0.0
"Matsuyama, Japan",1.7,74.3,59.5,11.0,7.3,0.3
"Matsuyama, Japan",3.3,141.7,54.0,13.3,7.1,0.5
"Matsuyama, Japan",5.0,209.0,48.5,15.7,6.8,0.8
"Matsuyama, Japan",3.3,443.7,48.0,16.4,7.3,1.6
"Matsuyama, Japan",1.7,678.3,47.4,17.2,7.8,2.4
"Matsuyama, Japan",0.0,913.0,46.9,18.0,8.3,3.3
"Matsuyama, Japan",3.4,912.7,49.9,17.7,7.7,3.3
"Matsuyama, Japan",6.7,912.3,53.0,17.4,7.1,3.3
"Matsuyama, Japan",10.1,912.0,56.0,17.1,6.5,3.3
"Matsuyama, Japan",8.4,752.7,59.8,17.2,4.6,2.7
"Matsuyama, Japan",6.7,593.3,63.6,17.3,2.6,2.1
"Matsuyama, Japan",5.0,434.0,67.4,17.4,0.7,1.6
"Matsuyama, Japan",5.1,364.0,72.2,16.0,3.1,1.3
"Matsuyama, Japan",5.2,294.0,77.0,14.6,5.5,1.1
"Matsuyama, Japan",5.3,224.0,81.8,13.3,7.9,0.8
"Matsuyama, Japan",36.9,149.3,81.2,13.0,8.2,0.5
"Matsuyama, Japan",68.4,74.7,80.6,12.7,8.4,0.3
"Matsuyama, Japan",100.0,0.0,80.0,12.5,8.6,0.0
"Matsuyama, Japan",93.8,0.0,77.0,12.3,8.6,0.0
"Matsuyama, Japan",87.7,0.0,74.0,12.1,8.6,0.0
"Matsuyama, Japan",81.5,0.0,71.0,12.0,8.6,0.0
"Matsuyama, Japan",87.7,2.3,72.0,11.9,8.4,0.0
"Matsuyama, Japan",93.8,4.7,73.1,11.8,8.2,0.0
"Matsuyama, Japan",100.0,7.0,74.1,11.7,7.9,0.0
"Matsuyama, Japan",100.0,58.7,68.1,14.0,6.5,0.2
"Matsuyama, Japan",100.0,110.3,62.2,16.3,5.0,0.4
"Matsuyama, Japan",100.0,162.0,56.2,18.7,3.6,0.6
"Matsuyama, Japan",100.0,386.3,52.3,20.0,5.4,1.4
"Matsuyama, Japan",100.0,610.7,48.4,21.3,7.2,2.2
"Matsuyama, Japan",100.0,835.0,44.5,22.7,9.0,3.0
"Matsuyama, Japan",100.0,823.7,46.1,22.6,10.7,3.0
"Matsuyama, Japan",100.0,812.3,47.8,22.5,12.4,2.9
"Matsuyama, Japan",100.0,801.0,49.4,22.5,14.0,2.9
"Matsuyama, Japan",100.0,655.0,52.8,21.4,16.1,2.4
"Matsuyama, Japan",100.0,509.0,56.3,20.3,18.1,1.8
"Matsuyama, Japan",100.0,363.0,59.7,19.2,20.2,1.3
"Matsuyama, Japan",100.0,303.0,63.2,18.5,17.6,1.1
"Matsuyama, Japan",100.0,243.0,66.8,17.8,15.1,0.9
"Matsuyama, Japan",100.0,183.0,70.3,17.1,12.6,0.7
"Matsuyama, Japan",100.0,122.0,70.8,17.0,12.4,0.4
"Matsuyama, Japan",100.0,61.0,71.3,17.0,12.1,0.2
"Matsuyama, Japan",100.0,0.0,71.8,17.0,11.9,0.0
"Matsuyama, Japan",100.0,0.0,77.2,16.7,13.0,0.0
"Matsuyama, Japan",100.0,0.0,82.5,16.4,14.0,0.0
"Matsuyama, Japan",100.0,0.0,87.9,16.1,15.1,0.0
"Matsuyama, Japan",100.0,0.0,89.9,16.0,13.7,0.0
"Matsuyama, Japan",100.0,0.0,92.0,15.9,12.2,0.0
"Matsuyama, Japan",100.0,0.0,94.0,15.9,10.8,0.0
"Matsuyama, Japan",100.0,11.3,92.7,16.5,10.7,0.0
"Matsuyama, Japan",100.0,22.7,91.4,17.1,10.6,0.1
"Matsuyama, Japan",100.0,34.0,90.1,17.7,10.4,0.1
"Matsuyama, Japan",100.0,81.7,89.1,18.0,9.5,0.3
"Matsuyama, Japan",100.0,129.3,88.0,18.3,8.5,0.5
"Matsuyama, Japan",100.0,177.0,87.0,18.6,7.6,0.6
"Matsuyama, Japan",100.0,170.7,87.5,18.5,6.4,0.6
"Matsuyama, Japan",100.0,164.3,88.1,18.4,5.2,0.6
"Matsuyama, Japan",100.0,158.0,88.6,18.4,4.0,0.6
"Matsuyama, Japan",100.0,118.3,90.4,18.0,4.0,0.4
"Matsuyama, Japan",100.0,78.7,92.2,17.6,4.0,0.3
"Matsuyama, Japan",100.0,39.0,94.0,17.3,4.0,0.1
"Matsuyama, Japan",100.0,33.0,94.5,17.2,3.7,0.1
"Matsuyama, Japan",100.0,27.0,95.0,17.2,3.5,0.1
"Matsuyama, Japan",100.0,21.0,95.5,17.2,3.2,0.1
"Matsuyama, Japan",100.0,14.0,95.3,17.2,4.6,0.1
"Matsuyama, Japan",100.0,7.0,95.2,17.3,5.9,0.0
"Matsuyama, Japan",100.0,0.0,95.0,17.4,7.2,0.0
"Matsuyama, Japan",100.0,0.0,95.1,17.3,6.2,0.0
"Matsuyama, Japan",100.0,0.0,95.3,17.2,5.3,0.0
"Matsuyama, Japan",100.0,0.0,95.4,17.2,4.3,0.0
"Matsuyama, Japan",97.8,0.3,95.4,17.3,3.8,0.0
"Matsuyama, Japan",95.7,0.7,95.5,17.4,3.4,0.0
"Matsuyama, Japan",93.5,1.0,95.5,17.5,2.9,0.0
"Matsuyama, Japan",85.3,45.3,94.4,18.0,3.8,0.2
"Matsuyama, Japan",77.2,89.7,93.4,18.6,4.8,0.3
"Matsuyama, Japan",69.0,134.0,92.3,19.2,5.8,0.5
"Matsuyama, Japan",77.9,232.7,92.1,19.1,6.1,0.8
"Matsuyama, Japan",86.9,331.3,92.0,19.1,6.5,1.2
"Matsuyama, Japan",95.8,430.0,91.8,19.1,6.8,1.5
"Matsuyama, Japan",97.2,402.7,91.4,19.1,5.5,1.4
"Matsuyama, Japan",98.6,375.3,90.9,19.1,4.2,1.4
"Matsuyama, Japan",100.0,348.0,90.5,19.1,2.9,1.3
"Matsuyama, Japan",99.2,302.7,90.9,19.1,2.2,1.1
"Matsuyama, Japan",98.3,257.3,91.2,19.1,1.4,0.9
"Matsuyama, Japan",97.5,212.0,91.6,19.1,0.7,0.8
"Matsuyama, Japan",98.1,177.3,93.5,18.6,1.2,0.6
"Matsuyama, Japan",98.8,142.7,95.4,18.1,1.7,0.5
"Matsuyama, Japan",99.4,108.0,97.3,17.6,2.2,0.4
"Matsuyama, Japan",99.3,72.0,97.0,17.6,2.4,0.3
"Matsuyama, Japan",99.1,36.0,96.8,17.6,2.6,0.1
"Matsuyama, Japan",99.0,0.0,96.5,17.6,2.9,0.0
"Matsuyama, Japan",88.2,0.0,95.9,17.3,4.8,0.0
"Matsuyama, Japan",77.3,0.0,95.2,17.0,6.7,0.0
"Matsuyama, Japan",66.5,0.0,94.6,16.7,8.6,0.0
"Matsuyama, Japan",77.7,2.3,94.3,16.6,9.0,0.0
"Matsuyama, Japan",88.8,4.7,93.9,16.5,9.4,0.0
"Matsuyama, Japan",100.0,7.0,93.6,16.5,9.7,0.0
"Matsuyama, Japan",100.0,21.7,89.3,17.4,10.8,0.1
"Matsuyama, Japan",100.0,36.3,85.1,18.3,11.9,0.1
"Matsuyama, Japan",100.0,51.0,80.8,19.2,13.0,0.2
"Matsuyama, Japan",100.0,232.3,77.5,19.9,15.8,0.8
"Matsuyama, Japan",100.0,413.7,74.3,20.6,18.7,1.5
"Matsuyama, Japan",100.0,595.0,71.0,21.4,21.6,2.1
"Matsuyama, Japan",100.0,517.7,72.9,21.4,21.2,1.9
"Matsuyama, Japan",100.0,440.3,74.7,21.4,20.9,1.6
"Matsuyama, Japan",100.0,363.0,76.6,21.4,20.5,1.3
"Matsuyama, Japan",100.0,247.3,81.4,20.7,21.0,0.9
"Matsuyama, Japan",100.0,131.7,86.2,20.1,21.5,0.5
"Matsuyama, Japan",100.0,16.0,91.0,19.5,22.0,0.1
"Matsuyama, Japan",100.0,13.3,92.7,19.2,18.2,0.0
"Matsuyama, Japan",100.0,10.7,94.4,18.9,14.5,0.0
"Matsuyama, Japan",100.0,8.0,96.1,18.6,10.8,0.0
"Matsuyama, Japan",100.0,5.3,97.2,17.3,11.0,0.0
"Matsuyama, Japan",100.0,2.7,98.2,16.0,11.3,0.0
"Matsuyama, Japan",100.0,0.0,99.3,14.8,11.5,0.0
"Matsuyama, Japan",100.0,0.0,99.2,14.6,10.7,0.0
"Matsuyama, Japan",100.0,0.0,99.2,14.4,9.8,0.0
"Matsuyama, Japan",100.0,0.0,99.1,14.2,9.0,0.0
"Matsuyama, Japan",100.0,0.0,98.2,13.5,9.2,0.0
"Matsuyama, Japan",100.0,0.0,97.3,12.8,9.5,0.0
"Matsuyama, Japan",100.0,0.0,96.4,12.1,9.7,0.0
"Matsuyama, Japan",100.0,6.0,95.9,12.2,9.7,0.0
"Matsuyama, Japan",100.0,12.0,95.5,12.4,9.7,0.0
"Matsuyama, Japan",100.0,18.0,95.0,12.6,9.7,0.1
"Matsuyama, Japan",100.0,66.0,91.0,13.0,9.5,0.2
"Matsuyama, Japan",100.0,114.0,87.1,13.5,9.2,0.4
"Matsuyama, Japan",100.0,162.0,83.1,14.0,9.0,0.6
"Matsuyama, Japan",85.2,209.0,77.2,14.9,8.6,0.8
"Matsuyama, Japan",70.3,256.0,71.4,15.8,8.3,0.9
"Matsuyama, Japan",55.5,303.0,65.5,16.7,7.9,1.1
"Matsuyama, Japan",37.1,352.0,68.0,16.6,7.2,1.3
"Matsuyama, Japan",18.6,401.0,70.6,16.5,6.5,1.4
"Matsuyama, Japan",0.2,450.0,73.1,16.4,5.8,1.6
"Matsuyama, Japan",0.1,377.3,76.7,15.0,6.5,1.4
"Matsuyama, Japan",0.1,304.7,80.3,13.6,7.2,1.1
"Matsuyama, Japan",0.0,232.0,83.9,12.2,7.9,0.8
"Matsuyama, Japan",0.0,154.7,85.3,11.7,8.3,0.6
"Matsuyama, Japan",0.0,77.3,86.6,11.3,8.6,0.3
"Matsuyama, Japan",0.0,0.0,88.0,10.9,9.0,0.0
"Matsuyama, Japan",0.0,0.0,88.5,10.5,8.5,0.0
"Matsuyama, Japan",0.0,0.0,89.1,10.2,8.0,0.0
"Matsuyama, Japan",0.0,0.0,89.6,9.9,7.6,0.0
"Matsuyama, Japan",0.1,3.0,88.7,9.9,7.6,0.0
"Matsuyama, Japan",0.1,6.0,87.7,9.9,7.6,0.0
"Matsuyama, Japan",0.2,9.0,86.8,9.9,7.6,0.0
"Matsuyama, Japan",9.1,78.7,76.0,12.3,6.8,0.3
"Matsuyama, Japan",17.9,148.3,65.2,14.7,6.1,0.5
"Matsuyama, Japan",26.8,218.0,54.4,17.2,5.4,0.8
"Matsuyama, Japan",17.9,451.7,53.8,17.9,7.7,1.6
"Matsuyama, Japan",8.9,685.3,53.3,18.6,10.0,2.5
"Matsuyama, Japan",0.0,919.0,52.7,19.4,12.2,3.3
"Matsuyama, Japan",6.6,920.0,53.9,19.2,11.3,3.3
"Matsuyama, Japan",13.1,921.0,55.0,18.9,10.3,3.3
"Matsuyama, Japan",19.7,922.0,56.2,18.8,9.4,3.3
"Matsuyama, Japan",46.5,720.3,60.3,17.9,7.4,2.6
"Matsuyama, Japan",73.2,518.7,64.5,17.1,5.5,1.9
"Matsuyama, Japan",100.0,317.0,68.6,16.3,3.6,1.1
"Matsuyama, Japan",69.7,265.0,70.9,15.8,3.7,1.0
"Matsuyama, Japan",39.4,213.0,73.1,15.4,3.8,0.8
"Matsuyama, Japan",9.1,161.0,75.4,15.0,4.0,0.6
"Matsuyama, Japan",6.1,107.3,76.1,14.0,5.2,0.4
